,sigma_Cl,sigma_H,sigma_N,sigma_O,epsilon_Cl,epsilon_H,epsilon_N,epsilon_O,ucmd_clf
757614,0.583446223409127,0.645328834566875,0.185723464204364,0.615201433819381,0.832877844602309,0.519571085822307,0.916619107139327,0.904903354617575,True
453709,0.135871749841714,0.764784863137818,0.187379151211874,0.694109729285583,0.469742851259658,0.427111633335138,0.842919756776322,0.763029529875163,True
592943,0.546799614901691,0.758290767285371,0.617236681263629,0.57277660074155,0.42464414016272,0.339775454141039,0.35129247428432,0.286536843109059,True
420992,0.170690044414266,0.584708442390871,0.473760224285663,0.589305830773,0.88150829925253,0.547061015525364,0.782743699380819,0.479066996448671,True
318807,0.0977371535659124,0.777766800041795,0.523928073204111,0.580210901709197,0.0268735724638137,0.525885018859969,0.390395190397508,0.181991931309643,True
283638,0.791615738031751,0.83546789513606,0.671474326357939,0.654329918245452,0.650164053147585,0.427886107170433,0.835988548105447,0.163357315082306,True
842485,0.525147881185133,0.993266810183537,0.70027468037417,0.37540217501556,0.537843664939479,0.150548732131678,0.734209217809153,0.652301385833062,True
158411,0.980333725390458,0.852905422533342,0.800807607281167,0.483117159491549,0.498275590046531,0.448492853512206,0.367914895945782,0.723847992637057,True
231324,0.421981766522245,0.906814148813407,0.636820623944488,0.614857766753458,0.758855155752793,0.286322229156012,0.100377702630973,0.0211035173775576,True
445978,0.918355653449682,0.768655785171294,0.60294887667442,0.456556453525522,0.0656555105816347,0.646302628390498,0.901404558701517,0.955366797431043,True
415168,0.957376132546583,0.88702029836642,0.500147144089674,0.331111279569751,0.0849133853748647,0.128254413614613,0.57089580159237,0.935306430684163,True
749264,0.561102386044257,0.514487421207029,0.398558419635313,0.67470392659101,0.872512948012685,0.917993636442754,0.744872519432001,0.453939581122194,True
218357,0.823463926087738,0.751221602440085,0.638165892121184,0.363175575540651,0.483937086260279,0.953031490774052,0.78604405070934,0.714652883626188,True
162223,0.394969404790212,0.747910103549681,0.16482220879832,0.760578421070816,0.00382176078129678,0.564002137855924,0.994797946606236,0.173527122747083,True
974768,0.656794755075608,0.722748086051731,0.450496605735232,0.653703685064717,0.149485474004592,0.921330349564912,0.0577821694864783,0.691908085638176,True
788927,0.487693112671134,0.819674442218164,0.51241176055944,0.593119546272335,0.663486821042472,0.902550430836366,0.809446746040836,0.0123565444993322,True
429698,0.332371191328662,0.602362632636327,0.369409435926671,0.601348118322553,0.791184197066248,0.794014413677238,0.465876285024152,0.802434572589487,True
306179,0.645699116035987,0.649475624703472,0.417755410658914,0.614249180874335,0.910288303363957,0.225517217839664,0.991644279776417,0.607301854007582,True
977647,0.570686297589064,0.855158531644095,0.92414920653258,0.488480778501017,0.0882240909349185,0.463271531838755,0.270384409285287,0.2569463971076,True
